detection_time,magnitude,Houang&Beroza_(TM),Yoon_(FAST),Horton_(STA/LTA),Ogwary_(STA/LTA),Mousavi_(CRED)
2010-08-02T09:26:07.830000Z,-0.26829,1,1,0,0,0
2010-08-02T09:28:48.600000Z,0.07082,1,1,0,0,0
2010-08-02T09:29:35.360000Z,-0.3492,1,1,0,0,0
2010-08-02T09:29:42.360000Z,0.03524,1,0,0,0,0
2010-08-02T09:29:46.840000Z,-0.2453,1,0,0,0,0
2010-08-02T09:30:51.480000Z,-0.50448,1,1,0,0,0
2010-08-02T09:32:04.050000Z,-0.15904,1,0,0,0,0
2010-08-02T09:36:30.030000Z,-0.12437,1,1,0,0,0
2010-08-02T09:36:50.880000Z,-0.21765,1,1,0,0,0
2010-08-02T09:37:21.350000Z,0.06378,1,1,0,0,0
2010-08-02T09:40:06.780000Z,-0.85162,1,1,0,0,0
2010-08-02T09:43:47.660000Z,0.30253,1,1,0,0,0
2010-08-02T09:44:45.740000Z,0.33789,1,1,0,0,0
2010-08-02T09:46:11.590000Z,-0.1768,1,1,0,0,1
2010-08-02T09:46:21.170000Z,-0.38264,1,1,0,0,0
2010-08-02T09:46:51.450000Z,0.0557,1,1,0,0,0
2010-08-02T09:47:03.010000Z,-0.21125,1,1,0,0,0
2010-08-02T09:48:02.960000Z,-0.0318,1,1,0,0,0
2010-08-02T09:49:12.350000Z,0.4022,1,1,0,0,0
2010-08-02T09:49:19.770000Z,0.01838,1,1,0,0,0
2010-08-02T09:49:30.690000Z,-0.81025,1,1,0,0,0
2010-08-02T09:51:58.390000Z,-0.5282,1,1,0,0,0
2010-08-02T09:58:21.780000Z,-0.94163,1,0,0,0,0
2010-08-02T09:59:13.610000Z,0.0148,1,0,0,0,0
2010-08-02T10:01:47.350000Z,-0.3746,1,1,0,0,0
2010-08-02T10:11:24.610000Z,-0.063,1,1,0,0,0
2010-08-02T10:15:31.130000Z,-0.03287,1,1,0,0,0
2010-08-02T10:18:14.910000Z,-0.65964,1,1,0,0,0
2010-08-02T10:21:02.010000Z,0.29007,1,1,0,0,0
2010-08-02T10:21:11.690000Z,0.347,1,1,0,0,0
2010-08-02T10:22:51.020000Z,-0.12202,1,1,0,0,0
2010-08-02T10:24:04.970000Z,-0.28856,1,1,0,0,0
2010-08-02T10:27:09.010000Z,0.06491,1,1,0,0,1
2010-08-02T10:32:44.890000Z,-1.0679,1,1,0,0,1
2010-08-02T10:33:48.000000Z,-0.48273,1,1,0,0,1
2010-08-02T10:34:46.810000Z,-0.16154,1,1,0,0,0
2010-08-02T10:35:06.210000Z,-0.03823,1,1,0,0,0
2010-08-02T10:41:01.560000Z,-0.5492,1,0,0,0,0
2010-08-02T10:41:26.800000Z,-0.11285,1,1,0,0,0
2010-08-02T10:44:40.630000Z,0.20595,1,1,0,0,1
2010-08-02T10:45:39.050000Z,-0.63904,1,1,0,0,0
2010-08-02T10:45:56.020000Z,-0.06055,1,1,0,0,0
2010-08-02T10:47:33.550000Z,-0.65993,1,1,0,0,0
2010-08-02T10:55:55.000000Z,-0.30321,1,1,0,0,0
2010-08-02T10:56:23.580000Z,0.07926,1,1,0,0,0
2010-08-02T10:56:44.410000Z,-0.08993,1,1,0,0,0
2010-08-02T10:57:38.690000Z,0.20752,1,1,0,0,0
2010-08-02T10:58:12.760000Z,-0.41309,1,1,0,0,0
2010-08-02T10:58:49.500000Z,0.11522,1,1,0,0,0
2010-08-02T11:07:33.580000Z,-0.64946,1,1,0,0,0
2010-08-02T11:08:12.910000Z,-0.11614,1,1,0,0,0
2010-08-02T11:08:22.390000Z,-0.02443,1,1,0,0,0
2010-08-02T11:08:40.590000Z,-0.26626,1,1,0,0,0
2010-08-02T11:10:06.290000Z,-0.47588,1,1,0,0,0
